Vin_ID,VIN,error
0,WFOAXXWPMAGB54207,1
1,FOAXXWPMAGC89383,1
2,WDD2052081F697282,0
3,WDF4156031U234692,0
4,AUZZZE4JA107163,1
5,WDC1569121J485824,0
6,,1
7,WDD1179031N620994,0
8,WDE4156031U234689,0
9,WAUZZZF59JAI31487,0
10,WVWZZZ3CZJE080676,0
11,,1
12,WVGZZZ1IZJWO05941,0
13,WBASL71O8OA046944,0
14,WBABH71070A129413,0
15,WBASH71O0OA129415,0
16,WBABL71030A04694,1
17,WBA8L71060A046957,0
18,WBABL710XOAO46945,0
19,WBA8L71040A046956,0
20,WBABL71020A046938,0
21,WVWZZZ3CZJEL17127,0
22,8V53104३923,1
23,WBASL71060A04694,1
24,WBABL71040A046942,0
25,BA8L71010AO046946,0
26,WBABL71O00A046937,0
27,WBABL71000A04694O,1
28,ALUZZZBV3J1043855,0
29,WAUZZZBVOJ1043750,0
30,WBABL71O40A04693,1
31,ALJZZZBV5J1043887,0
32,WDF4156031U234968,0
33,AUZJP563250,1
34,WVWZAUZJP562260,1
35,WDF4156031U235398,0
36,AUZZ48JNO58917,1
37,NGJ0238418,1
38,3CZJ128683,1
39,WEAJM9I090BH3769,1
40,Т8РОМХXTACHНКА,1
41,ШEOLXXTAСМНКА,1
42,TMBJHTNP6J7561419,0
43,WDF4156031U234260,0
44,WDD1179121N618547,0
45,TJN0J7526553,1
46,FNE0254882,1
47,HЕОСХXGAKСFТ53292,1
48,TMBZZZAAZJD610128,0
49,WDE4156031U234261,0
50,иDE4156031U234969,0
51,WDF4156031U234970,0
52,MDE4156031U234971,0
53,WAUZZZ4G8JN134071,0
54,WUWZZ3CZE129483,1
55,NDD1179121H641091,0
56,CZzJE130327,1
57,CJP010983,1
58,AESENSTDO,1
59,WDF4156031U234965,0
60,WDE4156031U235114,0
61,DF41560311U235262,0
62,WDE4156031U234967,0
63,WDE415603U234690,1
64,WAUZEZRV6J1084383,0
65,JTE2J0370270,1
66,WAUZZZ4G2JN112549,0
67,WVWZZZ3CZJEO8515,1
68,WEOYXXTTGYJR56918,1
69,DC2539051F500255,1
70,מצאRdyyPולרוAייאד,1
71,TMBJJ7NE5J0319717,0
72,WVGZZZ1TZJW110434,0
73,WAUZZZF48JA185841,0
74,WFOYXXTTGYJB00777,1
75,TMBJU7E0J0371708,1
76,พบZIZ41G3JN11704,1
77,WVWZZZ3CZJE229320,0
78,TMBJGTNE1JO362630,0
79,TMBJU9NE5J0369528,0
80,TMBUJ7NE9J0326296,0
81,WDD1179121N676476,0
82,КРТ4ОВ1ESТРО23209,0
83,WAUZZZ8V5J1090045,0
84,DC1569031J539156,1
85,WVWZZZAUZUP625050,0
86,WDD21320d1A510237,0
87,WVWZZZAUZHP344488,0
88,Fahrzeugidentiflzierungsnummer,1
89,DD1179121NG69324,1
90,DD119121NG68450,1
91,WDD1179121NG70186,0
92,VDD1179081N706732,0
93,235,1
94,WFOYXXTTGYJB09205,1
95,WFODXXTTGDJB02773,1
96,WDD1179081N719592,0
97,WBAJP51030BJ28083,0
98,Porsche,1
99,WAUZZZE45JA221453,0
100,,1
101,WAUZZZE45JA221453,0
102,VES225FZJR178235,1
103,TMBJJ7NE2J0381110,0
104,WVWZZZAUZJW148551,0
105,WVWZZZAUZJW670729,0
106,WAUZZZF4XJA220623,0
107,WAUZZZE5JA207925,1
108,WAUZZZE26KNOO9752,1
109,TMBJG7NEOKO012150,0
110,WVWZZZAUZKP525168,0
111,wwZZz3HZJE532515,1
112,VZZZAWZJY234165,1
113,NAUZZZEA9JA223853,0
114,UZABU4K1189430,1
115,EDD1179031N733518,0
116,WAUZZZF27KNO39164,0
117,TMBJG7NE2K0017866,0
118,,1
119,Porsche,1
120,WOVZRHNS2JS392142,0
121,WBAJN31020B377601,0
122,WVGZZ21TZKWO04109,0
123,WAUZZZF45JA196117,0
124,WOVF7E609JV656945,0
125,VNKKL3D330A309761,0
126,WoVF7E604Jv654214,0
127,TMBJGTNESKO041170,0
128,WBY7Z41040VD82192,0
129,ТMBLU9NPXК7016186,0
130,,1
131,TMBJG7NE8K0052010,0
132,WFODXXTTGDJJ22997,1
133,WDD2132041AS38399,0
134,8K0026457,1
135,WBAJD51090BL19841,0
136,WOVZM6EE2J1172365,0
137,WDD2130231A542567,0
138,WDB9076331P006890,0
139,WDB9076331P009377,0
140,WVWZZZAUZ,1
141,WVWZZZAUZKPO11291,1
142,WZZZALIZKEO1241,1
143,WV77A2KPO০9228,1
144,WVWZZZAUZKEg10247,1
145,WVWZZZAUZKP511981,0
146,TVWZZZAUZKP514571,0
147,WAUSEF45KAO79896,1
148,WYWZZZAUZKPO11233,1
149,WVWZZZAUZKEO10144,1
150,TMEJG7NE0K0072770,0
151,YAUZZR8VXJ1089473,0
152,WOVF7E609JV655908,0
153,wwwEZZ3C2JE263313,0
154,VDC2539051F524713,0
155,JMZGL691801502657,0
156,WDC1569081J563547,0
157,WDD2050781R451114,0
158,WOVZTGEB5J115412,1
159,WBAJF31O30WWO7720,1
160,DD1179081N726447,1
161,TMRAH7NPXK7015384,0
162,WDB9071351N001417,0
163,WEOAXXWPMAUI45085,1
164,WEOYXXTTGYJJ83130,1
165,WEOYXXTTGY,1
166,WBAJF31030WWO7720,1
167,WFOYXXTTGYJM75591,1
168,WDD1179031N733765,0
169,WOVBD6EFOKG311294,0
170,TMBJG7NE9K0031568,0
171,TMBJG7NE2KO050169,0
172,JSAGJB74V00101731,0
173,TRBIZNS9K8016304,1
174,TREJG7NEBKO031A33,1
175,WDD20S0781845114,1
176,WBA8C31080A815399,0
177,VF3MJEHZRJS391702,0
178,VF38EВHZTGLO2,1
179,WVWZZ2AUZНP335525,0
180,WVZZZALZJW077880,1
181,WVWZZZAUZJP051404,0
182,TMBLK9NS8H8018068,0
183,WBAJMZ108OB268022,0
184,WBAINZ1080BH99768,0
185,WBAJMZ100OB268032,0
186,WBAJN3106OB096045,0
187,WBAJN71010BJO620O,1
188,WBAJN31010BO96499,0
189,WBA4K310508Р37708,0
190,WВАЛЕЗ10408314435,0
191,WDF4156031U235261,0
192,WDF4156031U234966,0
193,WDF4156031U235263,0
194,WDF4156031U235264,0
195,WDF4156031U235266,0
196,WDF4156031U235265,0
197,WDF4156031U235117,0
198,WDF4156031U234973,0
199,१0720166,1
200,WFORXXWPGRJS37544,1
201,WFORXXPGRJS37542,1
202,EVFORXXPGRJS37543,1
203,EWEORXXPGRJS37540,1
204,VZEAUZJP622377,1
205,AUZZZF4IJAI58383,1
206,WAUZZZE49JA132209,0
207,VZZAUZJP552038,1
208,тzzz3CzE10792,1
209,WAUZZZAGSJNO61566,1
210,TMBJG7NEBJ0221862,0
211,J0223052,1
212,EAL2AG9JNO81302,1
213,H7NP737569416,1
214,WVWZZZ3CZJE148430,0
215,MBUGU6J2008789,1
216,TMBJGTUOJ2009243,1
217,AUZZEXTA138536,1
218,EWV23C2JE143914,1
219,WVGEE5NZJW391807,1
220,ГМBUTME200301093,1
221,TJATNE7J077648,1
222,MHNE0J7586252,1
223,WVZZ3CE19728,1
224,AUZZ28V7J1068502,1
225,WVWZZ3CJE19418,1
226,WAUZBV2J1066446,1
227,WVWZZE3CZJP015306,0
228,WVGZ225N2JW407366,0
229,WAUZE4G6JN03658,1
230,WVW223CZJE16054,1
231,TMBJJNE9JO323737,1
232,AT8084925,1
233,MBJJINE7JO330282,1
234,TMESто325933,1
235,wVw23C2JE211666,1
236,3JGZNELLJ3A,1
237,TMBJU7NS1J8089746,0
238,TMBJUN5J0311164,1
239,WVWZZZ3C2JE225405,0
240,3CJ230114,1
241,WBA8C31060ED48317,0
242,208,1
243,WAUZZZBV5J1057093,0
244,WDB96340610257820,0
245,МEОДХХТАС,1
246,WFOWXXTACHHK4,1
247,ЕОКХXТАСИНКА,1
248,AEONХXTACАНКА,1
249,TaFOMXXTAСынКА,1
250,WEOWXXTACWHK4,1
251,MEOKХXTAСАНКА,1
252,ШEOLXXTAСМНКА,1
253,Т8РОМХXTACHНКА,1
254,WDF4156031U234687,0
255,WDE4156031U234262,0
256,WDE4156031U234691,0
257,WDE4156031U235116,0
258,WDE4156031U234972,0
259,WDC1569031J441598,0
260,WDD1179121N592715,0
261,WDC2539A61E369066,0
262,WDC2533461F375855,0
263,WDD1179121N605865,0
264,WDC2539051E374820,0
265,WDD1179031N610565,0
266,WDD1179081N652531,0
267,RDD1179121N683040,0
268,WDD1179121N681488,0
269,WFOFXXWPCFHK56469,1
270,WFOMXXGBWMER04894,1
271,RIESTA,1
272,WЕОКХХЙРСКЕМ68851,1
273,TMBJJ7NEOJ0066855,0
274,WOTXXWPGTHC71813,1
275,WFOLXXTACLHC41496,1
276,,1
277,WFODXXGAKDGD29693,1
278,,1
279,,1
280,WFOCXXGAKCFY03461,1
281,WDD20S0081R413132,0
282,WAUZZZF49JA129925,0
283,WBA2E510705G58505,0
284,FOAXXWPMAGC89383,1
285,WVGZZZ1IZJWO05941,0
286,3CZJ128683,1
287,MDE4156031U234971,0
288,מצאRdyyPולרוAייאד,1
289,TMBJGTNE1JO362630,0
290,VES225FZJR178235,1
291,WBAJD51090BL19841,0
292,wVw23C2JE211666,1
293,WЕОКХХЙРСКЕМ68851,1
